covid_id,Departamento,Cantidad Casos,FECHAFK,Estado
457,ARAUCA,58,20210415,Leve
458,BARRANQUILLA,7,20210326,
459,TOLIMA,1,20200725,Fallecido
460,CALDAS,1,20211115,
461,CARTAGENA,1,20200902,Fallecido
462,MAGDALENA,2,20211116,Fallecido
463,NARIÑO,1,20201115,
464,BOGOTA,9,20210104,
465,TOLIMA,4,20210205,
466,MAGDALENA,35,20211028,Leve
467,BARRANQUILLA,"1,578",20210329,Leve
468,ATLANTICO,1,20210706,
469,BARRANQUILLA,185,20211122,Leve
470,QUINDIO,200,20201125,Leve
471,CASANARE,1,20220206,Moderado
472,BOGOTA,3,20210421,leve
473,QUINDIO,35,20210310,Leve
474,CALDAS,1,20210327,Fallecido
475,NARIÑO,1,20210504,
476,CHOCO,2,20210119,Fallecido
477,SANTANDER,3,20220215,Moderado
478,GUAJIRA,2,20210406,
479,GUAVIARE,1,20210104,Leve
480,AMAZONAS,3,20200822,Leve
481,AMAZONAS,2,20210427,Leve
482,CORDOBA,223,20210806,Leve
483,SANTANDER,4,20200831,
484,CAUCA,329,20210712,Leve
485,NORTE SANTANDER,26,20210329,Leve
486,VALLE,28,20201201,Fallecido
487,RISARALDA,13,20210708,Fallecido
488,HUILA,3,20210704,
489,BOYACA,8,20210930,Leve
490,GUAINIA,3,20220106,Leve
491,BOYACA,305,20220106,Leve
492,CARTAGENA,60,20211130,Leve
493,STA MARTA D.E.,113,20210702,Leve
494,SANTANDER,9,20200802,Fallecido
495,META,8,20210724,Fallecido
496,SANTANDER,1,20220127,
497,ARAUCA,1,20210126,Fallecido
498,BOYACA,489,20220109,Leve
499,HUILA,3,20200613,Leve
500,CAQUETA,1,20200518,Leve
501,CUNDINAMARCA,9,20201203,Fallecido
502,CORDOBA,10,20200925,
503,STA MARTA D.E.,224,20210605,Leve
504,SANTANDER,4,20210603,
505,CALDAS,211,20201003,Leve
506,BOGOTA,32,20220119,Moderado
507,BOLIVAR,13,20210907,Leve
508,CUNDINAMARCA,3,20210727,
509,CARTAGENA,135,20210813,Leve
510,CHOCO,2,20200719,Fallecido
511,CARTAGENA,3,20210103,Fallecido
512,QUINDIO,7,20210531,Fallecido
513,HUILA,10,20210507,Fallecido
514,CAQUETA,67,20220202,Leve
515,TOLIMA,1,20210805,
516,GUAINIA,3,20210714,Leve
517,CUNDINAMARCA,"1,008",20210712,Leve
518,CAUCA,2,20210711,
519,CUNDINAMARCA,1,20210617,leve
520,ATLANTICO,1,20201002,
521,NORTE SANTANDER,7,20200908,Fallecido
522,TOLIMA,2,20210113,
523,ARAUCA,37,20200917,Leve
524,BOGOTA,24,20201030,Fallecido
525,NORTE SANTANDER,432,20200807,Leve
526,TOLIMA,1,20210731,
527,BOGOTA,14,20210512,
528,SANTANDER,2,20210424,
529,QUINDIO,179,20200928,Leve
530,SUCRE,2,20210513,Fallecido
531,CALDAS,9,20200516,Leve
532,BOLIVAR,2,20210128,Fallecido
533,NORTE SANTANDER,72,20211016,Leve
534,CASANARE,40,20210324,Leve
535,META,1,20200325,Leve
536,BOLIVAR,3,20210121,Fallecido
537,ARAUCA,1,20210429,Fallecido
538,GUAJIRA,26,20200627,Leve
539,BOGOTA,25,20210215,Fallecido
540,SANTANDER,22,20210121,Fallecido
541,BARRANQUILLA,242,20211104,Leve
542,NARIÑO,369,20210203,Leve
543,CASANARE,1,20210728,
544,ARAUCA,5,20220104,Leve
545,CARTAGENA,4,20220122,Moderado
546,PUTUMAYO,26,20211109,Leve
547,PUTUMAYO,63,20210520,Leve
548,CORDOBA,28,20210614,Fallecido
549,BARRANQUILLA,130,20210815,Leve
550,QUINDIO,19,20210818,Leve
551,SANTANDER,3,20200804,
552,BOYACA,17,20210120,
553,VICHADA,9,20200917,Leve
554,TOLIMA,6,20200613,Fallecido
555,CARTAGENA,24,20210522,Fallecido
556,STA MARTA D.E.,3,20200725,Fallecido
557,BOYACA,176,20201128,Leve
558,ATLANTICO,4,20210129,Fallecido
559,BOGOTA,1,20211018,
560,CUNDINAMARCA,7,20200903,Fallecido
561,ANTIOQUIA,63,20200727,Fallecido
562,CAUCA,1,20200529,Leve
563,VAUPES,2,20201112,Leve
564,SANTANDER,173,20211213,Leve
565,CESAR,11,20200826,Fallecido
566,BOYACA,2,20200810,Fallecido
567,ANTIOQUIA,27,20220123,Moderado
568,CALDAS,5,20200409,Leve
569,CUNDINAMARCA,11,20220212,Moderado
570,VALLE,1,20220220,Moderado
